,News Source,Tweet Text,Tweet Date,Compound Score,Pos.score,Neg.score,Neu.score,Tweets ago
115,CBC News,"RT @CBCPolitics: Diplomats-turned-refugees: Foreign nationals claiming asylum at embassies, consulates https://t.co/V2Tcxz9gxo #hw #cdnpoli…",Sun Jun 24 15:30:14 +0000 2018,0.0,0.0,0.0,1.0,16
116,CBC News,"RT @WendyMesleyCBC: LIVE: The Weekly with @WendyMesleyCBC June 24, 2018 https://t.co/Rm3SIuUo2A",Sun Jun 24 15:01:33 +0000 2018,0.0,0.0,0.0,1.0,17
117,CBC News,The first Canadians have hit the ground ahead of a perilous peacekeeping mission in Mali. https://t.co/J4zDtZ1sYu… https://t.co/2mj00MrVEx,Sun Jun 24 15:00:38 +0000 2018,0.4588,0.167,0.0,0.833,18
118,CBC News,RT @CBCToronto: Toronto prepares for 1st Pride parade since Bruce McArthur's arrest: https://t.co/dEW43f6t1J https://t.co/hmKGk8hK89,Sun Jun 24 15:00:05 +0000 2018,0.0,0.143,0.143,0.714,19
119,CBC News,RT @CBCNB: Get a tissue handy. Mackenzie Stewart had no intention of going to her high school prom after her boyfriend died in a car accide…,Sun Jun 24 14:30:18 +0000 2018,-0.7003,0.0,0.209,0.791,20
120,CBC News,"It’s the ubiquitous symbol of the LGBT movement, but how did the Pride flag come to be? CBC’s @NEWSneil delves into… https://t.co/xLzBHhC8As",Sun Jun 24 14:01:08 +0000 2018,0.4767,0.129,0.0,0.871,21
121,CBC News,"B.C. man ends up with $338 a month after tax, after contributing for over 40 years. https://t.co/pPNtOOzYrL @Dufresnm",Sun Jun 24 13:33:23 +0000 2018,0.0,0.0,0.0,1.0,22
122,CBC News,Political activist Egor Cherniuk watches from afar after fleeing Russia with backpack and few belongings. https://t.co/ifbSoHPCGk,Sun Jun 24 13:30:15 +0000 2018,0.0,0.0,0.0,1.0,23
123,CBC News,"In Canada, permethrin-treated clothing is only marketed to be used against mosquitoes https://t.co/KntflrJUK1",Sun Jun 24 12:00:15 +0000 2018,0.0,0.0,0.0,1.0,24
124,CBC News,Two-year-old Hugo Giroux received non-life-threatening injuries to his face and arm https://t.co/Wp7WPXWi2u,Sun Jun 24 11:00:10 +0000 2018,0.0,0.0,0.0,1.0,25
